,b,p_error,v__0_0,gamma__0_0,s__0_0,tau__0_0,t0__0_0
0,1.0,0.05,3.8892916621597336e-05,1.0,0.005665738060340625,1.5675911395867512,0.0
1,1.0,0.05,3.799070541533621e-05,1.0,0.005665738060340625,1.5675911395867512,0.0
2,1.0,0.05,3.799070541533621e-05,1.0,0.005153104023588862,1.5675911395867512,0.0
3,1.0,0.05,3.904963080454567e-05,1.0,0.005153104023588862,1.5675911395867512,0.0
4,1.0,0.05,3.904963080454567e-05,1.0,0.00522550796367882,1.5675911395867512,0.0
5,1.0,0.05,3.904963080454567e-05,1.0,0.00522550796367882,1.3005213151365782,0.0
6,1.0,0.05,3.904963080454567e-05,1.0,0.0052748833339714305,1.3005213151365782,0.0
7,1.0,0.05,3.904963080454567e-05,1.0,0.0052748833339714305,1.3005213151365782,0.0
8,1.0,0.05,3.904963080454567e-05,1.0,0.0052748833339714305,1.3005213151365782,0.0
9,1.0,0.05,3.9568453826364934e-05,1.0,0.0052748833339714305,1.3448290930639415,0.0
10,1.0,0.05,3.9568453826364934e-05,1.0,0.0052748833339714305,1.283310126818443,0.0
11,1.0,0.05,3.939883990241956e-05,1.0,0.0052748833339714305,1.283310126818443,0.0
12,1.0,0.05,3.939883990241956e-05,1.0,0.005182328257892121,1.283310126818443,0.0
13,1.0,0.05,4.013334700892393e-05,1.0,0.0055091586514793315,1.2653507533713637,0.0
14,1.0,0.05,3.8779775917031095e-05,1.0,0.004994092832860147,1.3052918169494605,0.0
15,1.0,0.05,3.8779775917031095e-05,1.0,0.0049664706972457106,1.3052918169494605,0.0
16,1.0,0.05,3.8779775917031095e-05,1.0,0.0049664706972457106,1.3102798822896145,0.0
17,1.0,0.05,3.8245578551765954e-05,1.0,0.0049664706972457106,1.5879068808417438,0.0
18,1.0,0.05,3.8245578551765954e-05,1.0,0.0049664706972457106,1.5879068808417438,0.0
19,1.0,0.05,3.8180198183514396e-05,1.0,0.0049664706972457106,1.5879068808417438,0.0
20,1.0,0.05,3.8180198183514396e-05,1.0,0.0049664706972457106,1.5893848034745515,0.0
21,1.0,0.05,3.8180198183514396e-05,1.0,0.0049664706972457106,1.8399019849650167,0.0
22,1.0,0.05,3.811454634858186e-05,1.0,0.0049664706972457106,2.0372942241570065,0.0
23,1.0,0.05,3.6828373162012704e-05,1.0,0.005871607917772763,2.0372942241570065,0.0
24,1.0,0.05,3.849739786044845e-05,1.0,0.005871607917772763,2.0372942241570065,0.0
25,1.0,0.05,3.817873556666573e-05,1.0,0.005611244356119838,1.5763671412176397,0.0
26,1.0,0.05,3.817873556666573e-05,1.0,0.0055982991932865414,1.638074510823854,0.0
27,1.0,0.05,3.817873556666573e-05,1.0,0.0055982991932865414,1.638074510823854,0.0
28,1.0,0.05,3.817873556666573e-05,1.0,0.0055982991932865414,1.638074510823854,0.0
29,1.0,0.05,3.817873556666573e-05,1.0,0.00547520640531023,1.5933760557496968,0.0
30,1.0,0.05,3.817873556666573e-05,1.0,0.005177725587360347,1.5933760557496968,0.0
31,1.0,0.05,3.855297287871051e-05,1.0,0.005177725587360347,1.5933760557496968,0.0
32,1.0,0.05,3.855297287871051e-05,1.0,0.005177725587360347,1.797611678628893,0.0
33,1.0,0.05,3.855297287871051e-05,1.0,0.005177725587360347,1.7668853259085517,0.0
34,1.0,0.05,3.855297287871051e-05,1.0,0.005177725587360347,1.5179244157625282,0.0
35,1.0,0.05,3.855297287871051e-05,1.0,0.004952537927730079,1.5179244157625282,0.0
36,1.0,0.05,3.855297287871051e-05,1.0,0.004952537927730079,1.5179244157625282,0.0
37,1.0,0.05,3.855297287871051e-05,1.0,0.005548638563116399,1.3579945876767132,0.0
38,1.0,0.05,3.932701059263374e-05,1.0,0.005548638563116399,1.3579945876767132,0.0
39,1.0,0.05,3.932701059263374e-05,1.0,0.005535477586140171,1.3579945876767132,0.0
40,1.0,0.05,3.863779529824025e-05,1.0,0.005535477586140171,1.3579945876767132,0.0
41,1.0,0.05,3.863779529824025e-05,1.0,0.005535477586140171,1.3386995958162355,0.0
42,1.0,0.05,3.863779529824025e-05,1.0,0.005535477586140171,1.3386995958162355,0.0
43,1.0,0.05,3.863779529824025e-05,1.0,0.005535477586140171,1.3386995958162355,0.0
44,1.0,0.05,3.863779529824025e-05,1.0,0.004660978089500842,1.3386995958162355,0.0
45,1.0,0.05,3.863779529824025e-05,1.0,0.005661922440385627,1.3386995958162355,0.0
46,1.0,0.05,3.863779529824025e-05,1.0,0.005661922440385627,1.395300897046621,0.0
47,1.0,0.05,3.865382379377724e-05,1.0,0.005661922440385627,1.3086083788749927,0.0
48,1.0,0.05,3.865382379377724e-05,1.0,0.005923542130979429,1.3086083788749927,0.0
49,1.0,0.05,3.865382379377724e-05,1.0,0.005954673899900472,1.3086083788749927,0.0
50,1.0,0.05,3.865382379377724e-05,1.0,0.005575790282313294,1.3086083788749927,0.0
51,1.0,0.05,3.955847334601007e-05,1.0,0.005575790282313294,1.3086083788749927,0.0
52,1.0,0.05,3.955847334601007e-05,1.0,0.005575790282313294,1.3086083788749927,0.0
53,1.0,0.05,3.955847334601007e-05,1.0,0.005575790282313294,1.3086083788749927,0.0
54,1.0,0.05,3.955847334601007e-05,1.0,0.005575790282313294,1.3086083788749927,0.0
55,1.0,0.05,3.955847334601007e-05,1.0,0.005575790282313294,1.3086083788749927,0.0
56,1.0,0.05,3.955847334601007e-05,1.0,0.005575790282313294,1.3086083788749927,0.0
57,1.0,0.05,3.955847334601007e-05,1.0,0.005210651415838364,1.2008814900138451,0.0
58,1.0,0.05,3.955847334601007e-05,1.0,0.005400215027071952,1.2008814900138451,0.0
59,1.0,0.05,3.9014406538776455e-05,1.0,0.00512149974914129,1.2008814900138451,0.0
60,1.0,0.05,3.9014406538776455e-05,1.0,0.00512149974914129,1.2008814900138451,0.0
61,1.0,0.05,3.9014406538776455e-05,1.0,0.00512149974914129,1.208674736571226,0.0
62,1.0,0.05,3.9014406538776455e-05,1.0,0.005266217564328985,1.208674736571226,0.0
63,1.0,0.05,3.9014406538776455e-05,1.0,0.005266217564328985,1.1193093046025817,0.0
64,1.0,0.05,3.9014406538776455e-05,1.0,0.005266217564328985,1.1193093046025817,0.0
65,1.0,0.05,3.9014406538776455e-05,1.0,0.005266217564328985,1.1193093046025817,0.0
66,1.0,0.05,3.9014406538776455e-05,1.0,0.004837918969955627,1.4478463006585505,0.0
67,1.0,0.05,3.9014406538776455e-05,1.0,0.00506544954850299,1.4478463006585505,0.0
68,1.0,0.05,3.9014406538776455e-05,1.0,0.00506544954850299,1.4272345465165572,0.0
69,1.0,0.05,3.9014406538776455e-05,1.0,0.00506544954850299,1.31179786138095,0.0
70,1.0,0.05,3.9014406538776455e-05,1.0,0.00506544954850299,1.31179786138095,0.0
71,1.0,0.05,3.9014406538776455e-05,1.0,0.00506544954850299,1.31179786138095,0.0
72,1.0,0.05,3.9014406538776455e-05,1.0,0.00506544954850299,1.31179786138095,0.0
73,1.0,0.05,3.847259250555797e-05,1.0,0.00506544954850299,1.31179786138095,0.0
74,1.0,0.05,3.847259250555797e-05,1.0,0.005391415447459683,1.6045552152687395,0.0
75,1.0,0.05,3.847259250555797e-05,1.0,0.005391415447459683,1.6045552152687395,0.0
76,1.0,0.05,3.920902248317983e-05,1.0,0.005239653838258127,1.5024264352002072,0.0
77,1.0,0.05,3.901982013408764e-05,1.0,0.005239653838258127,1.5024264352002072,0.0
78,1.0,0.05,3.901982013408764e-05,1.0,0.005490916371861677,1.5024264352002072,0.0
79,1.0,0.05,3.901982013408764e-05,1.0,0.005708527326390445,1.424682923763065,0.0
80,1.0,0.05,3.901982013408764e-05,1.0,0.005708527326390445,1.6080827942889198,0.0
81,1.0,0.05,3.864055675174522e-05,1.0,0.005708527326390445,1.6080827942889198,0.0
82,1.0,0.05,3.864055675174522e-05,1.0,0.005708527326390445,1.4648623129732434,0.0
83,1.0,0.05,3.812434699688318e-05,1.0,0.005708527326390445,1.4490033849958257,0.0
84,1.0,0.05,3.7945834601924345e-05,1.0,0.005708527326390445,1.4490033849958257,0.0
85,1.0,0.05,3.7945834601924345e-05,1.0,0.004855748883967266,2.047938994186892,0.0
86,1.0,0.05,3.7945834601924345e-05,1.0,0.004855748883967266,2.047938994186892,0.0
87,1.0,0.05,3.804747888016469e-05,1.0,0.005290684830371487,1.698974878635138,0.0
88,1.0,0.05,3.804747888016469e-05,1.0,0.005169724062169941,1.5378238698394562,0.0
89,1.0,0.05,3.775711517414669e-05,1.0,0.005169724062169941,1.7466633893373293,0.0
90,1.0,0.05,3.906524257432177e-05,1.0,0.005169724062169941,1.7466633893373293,0.0
91,1.0,0.05,3.906524257432177e-05,1.0,0.0049471497788819456,1.4619592934171446,0.0
92,1.0,0.05,3.906524257432177e-05,1.0,0.0049471497788819456,1.4619592934171446,0.0
93,1.0,0.05,3.9501417103427914e-05,1.0,0.0049471497788819456,1.4619592934171446,0.0
94,1.0,0.05,3.9501417103427914e-05,1.0,0.0049471497788819456,1.4619592934171446,0.0
95,1.0,0.05,3.9501417103427914e-05,1.0,0.0049471497788819456,1.1945535068641764,0.0
96,1.0,0.05,3.9501417103427914e-05,1.0,0.0049471497788819456,1.1945535068641764,0.0
97,1.0,0.05,3.9501417103427914e-05,1.0,0.0049471497788819456,1.3437100377795899,0.0
98,1.0,0.05,3.9501417103427914e-05,1.0,0.005044140451987782,1.3437100377795899,0.0
99,1.0,0.05,3.81258915830832e-05,1.0,0.005451373163333681,1.3437100377795899,0.0
100,1.0,0.05,3.903195574972087e-05,1.0,0.00514310656335035,1.3437100377795899,0.0
101,1.0,0.05,3.975847977199733e-05,1.0,0.004718050311740278,1.3587141790598007,0.0
102,1.0,0.05,3.975847977199733e-05,1.0,0.004718050311740278,1.4752191222143016,0.0
103,1.0,0.05,3.965261420712745e-05,1.0,0.004718050311740278,1.4752191222143016,0.0
104,1.0,0.05,3.965261420712745e-05,1.0,0.004718050311740278,1.4752191222143016,0.0
105,1.0,0.05,3.9484400567325406e-05,1.0,0.004718050311740278,1.4752191222143016,0.0
106,1.0,0.05,3.9484400567325406e-05,1.0,0.004718050311740278,1.2781118628775254,0.0
107,1.0,0.05,3.9484400567325406e-05,1.0,0.004718050311740278,1.2781118628775254,0.0
108,1.0,0.05,3.9484400567325406e-05,1.0,0.004718050311740278,1.2781118628775254,0.0
109,1.0,0.05,4.002064405072655e-05,1.0,0.004718050311740278,1.2781118628775254,0.0
110,1.0,0.05,4.002064405072655e-05,1.0,0.004718050311740278,1.2781118628775254,0.0
111,1.0,0.05,3.890992710100681e-05,1.0,0.0054425470972436305,1.2781118628775254,0.0
