subject,dataset,v,gamma,s,tau
0,krajbich2010,0.8365893236117915,0.7534740435944871,0.3301880472914816,0.5339233842384307
1,krajbich2010,0.9412520799671504,-0.08822119635504526,0.31267419738475044,0.2451298936161817
2,krajbich2010,0.23703676442507643,0.7377346426542504,0.32434090918632946,2.273199567365544
3,krajbich2010,0.8890585161732156,0.4557386659036324,0.19963961601731683,0.09720118018677278
4,krajbich2010,0.8821762466273351,0.5005057445639065,0.32122914826975807,0.36759737753145527
5,krajbich2010,1.4072299386879665,0.24442062552459443,0.19489323179551463,0.12095823242754461
6,krajbich2010,0.3827171699071448,0.4814239225552409,0.3244714968073476,0.6775329042983229
7,krajbich2010,0.8324685989511384,0.018678190172875773,0.2070720926838447,0.3642230809926587
8,krajbich2010,1.0383539582180468,0.4763483437991598,0.2868523796790382,0.3803618336017558
9,krajbich2010,0.6341159286850417,0.24027473384355413,0.28989721957518394,0.8739991744895788
10,krajbich2010,0.6668699338998192,0.8078093772649922,0.2665142766951814,0.5176505523711502
11,krajbich2010,0.5189580584124905,0.7429632679513873,0.31127922739442443,0.9193404462686355
12,krajbich2010,0.9193847835305915,0.8493259193194985,0.2541717938962893,0.4317146772935339
13,krajbich2010,0.3833278915264898,-0.7145778081029202,0.38430573638708343,0.10839049974483789
14,krajbich2010,0.8852104120359315,0.16134903408080595,0.2909771342306955,0.5567997044962624
15,krajbich2010,0.2996711654978153,0.7618415836278818,0.2938701103562224,1.0892411576759584
16,krajbich2010,0.34479618585652805,0.8088170311970921,0.21389404271248488,0.4491136493214368
17,krajbich2010,0.47808040951493497,0.6366247760699991,0.33296971886346644,1.2301020449837692
18,krajbich2010,0.5449477097656632,0.39023228087396367,0.2596427428372838,0.5793626900116006
19,krajbich2010,0.8664399831330846,0.14084270612505181,0.3665589112749549,1.293177939170757
20,krajbich2010,0.5614843334130255,0.8161479556775681,0.20088402956841955,0.6236212969911581
21,krajbich2010,1.0453070871034378,-0.021591960055352546,0.2615724488876227,0.5467898160834626
22,krajbich2010,1.2990984453437864,0.5610679792732922,0.21872410589250305,0.2776238410057745
23,krajbich2010,0.7803806070150151,-0.56190078405648,0.20065123402463653,0.5651139728433395
24,krajbich2010,0.909079023613789,-0.3374000221862551,0.2370625829842053,0.5352931834674585
25,krajbich2010,0.7192145820999716,0.6946148768946657,0.3502690142648188,0.5766746762796178
26,krajbich2010,1.6886186254825062,-0.050353225142974585,0.2697192595105341,0.2624735934967785
27,krajbich2010,0.522875956713079,-0.7823391553705709,0.276178661971206,1.6776471432779003
28,krajbich2010,0.43152703125938763,0.043472616326575585,0.3070072295448052,1.1555540548019962
29,krajbich2010,0.5386054125609752,-0.5615939306380641,0.3008918630845571,1.7797792552546274
30,krajbich2010,0.7720835640245063,-0.21496219371447906,0.3645818075304704,1.2230804408046116
31,krajbich2010,0.5280359678590024,-0.2520514631177566,0.2901845641524892,1.7532746023316546
32,krajbich2010,1.2437913799945377,0.3816600425969058,0.2155496029943173,0.23537445339111712
33,krajbich2010,0.689070504333566,0.013446160693104779,0.26107980593396324,1.0914211292226594
34,krajbich2010,1.366767160264266,-0.24346442899180323,0.24181911295888459,0.6075101479126281
35,krajbich2010,1.0640142625616056,0.5196744653369981,0.2908603671795009,0.2982263953981936
36,krajbich2010,0.9398915495603114,-0.4180793670040489,0.26832840491398324,0.3036114690525979
37,krajbich2010,0.443197522985241,0.33061586385583897,0.3091433521445026,1.407421415830992
38,krajbich2010,0.5979762218135811,0.5009066156561763,0.33678631803674286,0.6523839866289295
39,krajbich2011,1.2073478293339126,0.38911634311954085,0.2271030732489612,0.35458687817035695
40,krajbich2011,0.6333043360234485,0.3534741365358882,0.27944951954519265,0.6220215477089546
41,krajbich2011,0.7372010133692258,0.8145951716056544,0.28212235974135785,0.7879669584219086
42,krajbich2011,0.8004561417900024,-0.15466877966140619,0.32826827873481546,1.5056731253963476
43,krajbich2011,0.6278225802065892,0.6586447088487902,0.21914158263873143,0.5495828064727456
44,krajbich2011,0.4316661618233639,-0.28546358509222414,0.22150239141155822,1.5503971470589901
45,krajbich2011,0.19811046273941005,0.32418236341752044,0.2132328898720459,0.9996650603934227
46,krajbich2011,0.602487490707417,-1.0162388537436795,0.281132008242353,0.9213158845140095
47,krajbich2011,1.5811849008428458,0.25675636583676836,0.17798118822693523,0.2378351974092691
48,krajbich2011,0.6123545456529234,-0.07732225958037847,0.27052749172938606,1.4457267002851355
49,krajbich2011,0.7325999421500199,0.4626567842316521,0.25692549551579064,0.777925363550622
50,krajbich2011,1.175268499897511,0.025258468814715107,0.22333181891361023,0.3878062902391023
51,krajbich2011,0.6239997863854394,0.418658601476661,0.24033520079930404,0.7015159124566382
52,krajbich2011,0.607910630620161,0.4312090114399507,0.24742226326084588,1.0713449385906506
53,krajbich2011,1.1028802161025855,0.5766741606213049,0.1673041795460758,0.23679122091853122
54,krajbich2011,0.17973005031078992,0.3276852910442463,0.21631891762728542,2.0926009014467186
55,krajbich2011,0.5571782039903758,0.3406206319644063,0.36084116687480117,0.9895332974241554
56,krajbich2011,0.394272524541766,0.720116355199766,0.18615555878209922,2.025943051460161
57,krajbich2011,1.1874491949114072,0.21051683254982234,0.2662271570599094,0.37183413887758743
