,b,p_error,v__0_0,gamma__0_0,s__0_0,tau__0_0,t0__0_0
0,1.0,0.05,6.314875926013614e-05,1.0,0.008522889793272825,0.4167877376105214,0.0
1,1.0,0.05,6.314875926013614e-05,1.0,0.008612082998771472,0.4415975831904285,0.0
2,1.0,0.05,6.314875926013614e-05,1.0,0.008612082998771472,0.3638049865492016,0.0
3,1.0,0.05,6.314875926013614e-05,1.0,0.008612082998771472,0.3638049865492016,0.0
4,1.0,0.05,6.314875926013614e-05,1.0,0.00879313273814423,0.3638049865492016,0.0
5,1.0,0.05,6.314875926013614e-05,1.0,0.00879313273814423,0.3638049865492016,0.0
6,1.0,0.05,6.314875926013614e-05,1.0,0.00879313273814423,0.3638049865492016,0.0
7,1.0,0.05,6.365296911367029e-05,1.0,0.00879313273814423,0.3633846893173626,0.0
8,1.0,0.05,6.365296911367029e-05,1.0,0.00879313273814423,0.3633846893173626,0.0
9,1.0,0.05,6.469901195142264e-05,1.0,0.00879313273814423,0.3633846893173626,0.0
10,1.0,0.05,6.469901195142264e-05,1.0,0.008343413071580043,0.3633846893173626,0.0
11,1.0,0.05,6.666805170695726e-05,1.0,0.008343413071580043,0.3633846893173626,0.0
12,1.0,0.05,6.666805170695726e-05,1.0,0.008343413071580043,0.3633846893173626,0.0
13,1.0,0.05,6.53516231077069e-05,1.0,0.008343413071580043,0.3633846893173626,0.0
14,1.0,0.05,6.53516231077069e-05,1.0,0.008343413071580043,0.3633846893173626,0.0
15,1.0,0.05,6.588177341245829e-05,1.0,0.008343413071580043,0.3633846893173626,0.0
16,1.0,0.05,6.588177341245829e-05,1.0,0.008343413071580043,0.3633846893173626,0.0
17,1.0,0.05,6.588177341245829e-05,1.0,0.008161096288057858,0.3633846893173626,0.0
18,1.0,0.05,6.588177341245829e-05,1.0,0.008161096288057858,0.325909249429734,0.0
19,1.0,0.05,6.588177341245829e-05,1.0,0.008383810715318995,0.325909249429734,0.0
20,1.0,0.05,6.588177341245829e-05,1.0,0.008383810715318995,0.325909249429734,0.0
21,1.0,0.05,6.588177341245829e-05,1.0,0.008383810715318995,0.3668643124744137,0.0
22,1.0,0.05,6.588177341245829e-05,1.0,0.008383810715318995,0.3668643124744137,0.0
23,1.0,0.05,6.588177341245829e-05,1.0,0.008383810715318995,0.3668643124744137,0.0
