gamma,gamma_hpd_2.5,gamma_hpd_97.5,s,s_hpd_2.5,s_hpd_97.5,subject,t0,t0_hpd_2.5,t0_hpd_97.5,tau,tau_hpd_2.5,tau_hpd_97.5,v,v_hpd_2.5,v_hpd_97.5
0.059,-0.0565273509161448,0.1856957579740106,0.232,0.21007384633641044,0.2576925683618441,30,0.0,0.0,0.0,0.452,0.34067263783162766,0.6767466146339196,0.46,0.41788695618519933,0.4994936629016185
-0.054,-0.11300367565581215,0.02588120128978888,0.208,0.1898986156668116,0.23487147493048785,31,0.0,0.0,0.0,0.828,0.6239449988464819,1.4647931753114782,0.521,0.4768433869851991,0.5654528984343357
-0.446,-0.5285443284324784,-0.32249860428688515,0.263,0.23815147195233866,0.28709935292028266,32,0.0,0.0,0.0,0.882,0.6537059324479522,1.2528962227981169,0.457,0.41281308857465737,0.4952846904097153
0.352,0.27542820727881256,0.43760316775003716,0.281,0.2563850063460981,0.30420180474210545,33,0.0,0.0,0.0,1.576,0.9935950970618429,4.114290920850284,0.339,0.3121353696557074,0.38265618013645125
0.43,0.3173077736598273,0.5939833356162483,0.236,0.2147306640081904,0.26257444708253813,34,0.0,0.0,0.0,0.513,0.36712119583829983,0.6832252602890929,0.454,0.41243783568434744,0.4981340368609379
-0.2,-0.2536400024926735,-0.12091980448255724,0.265,0.248825999403988,0.3020940682672202,35,0.0,0.0,0.0,1.141,0.6818796704641027,1.4296849029823084,0.569,0.5282360822719371,0.6224888483580043
0.158,0.1175441318913748,0.2577555279998984,0.239,0.21708291688905879,0.2597416539950517,36,0.0,0.0,0.0,1.959,0.9889928078054655,4.252384031004007,0.297,0.27145511392368055,0.3362549822296996
-0.427,-0.5219255805365197,-0.34332043511983357,0.235,0.21736797675900224,0.2645831681064437,37,0.0,0.0,0.0,1.032,0.8439614106662661,1.535988368090179,0.675,0.631733673332521,0.7268343890418714
0.351,0.299800324409782,0.42233099752081005,0.258,0.23817765713962152,0.29112266156201577,38,0.0,0.0,0.0,0.954,0.7065085558949996,1.2494385846949243,1.022,0.9558202154009863,1.099217775277681
0.076,0.014832231342987168,0.1213671451985916,0.287,0.2584021266984274,0.3203671696050221,39,0.0,0.0,0.0,1.394,0.9793240097151711,2.8713766272731207,0.725,0.654602023780277,0.7909173560526728
0.072,-0.028948637061377624,0.1465840474888367,0.329,0.30388151830958715,0.36006485519431347,40,0.0,0.0,0.0,0.935,0.6878760133549142,1.5387720146212258,0.545,0.4899875549834185,0.6056118465475495
0.023,-0.05616429117306998,0.14155624069321426,0.264,0.24529129803242655,0.29085344116318085,41,0.0,0.0,0.0,1.482,0.9154237716045244,2.6848156479940153,0.342,0.3016784740033289,0.3731395368983998
0.474,0.4179049391806644,0.5008154059421943,0.206,0.18391574167412475,0.2213095106814174,42,0.0,0.0,0.0,3.527,2.0850766088757005,5.279355004192229,0.41,0.3910883170763322,0.43592390742397336
0.411,0.3590655980165094,0.46821826007363754,0.264,0.23968411654038863,0.2913539160928559,43,0.0,0.0,0.0,1.153,0.9476697608090158,1.659011044370062,0.995,0.9412041485602619,1.0607307524348022
0.363,0.27517150556725234,0.4721694394845546,0.286,0.25830477268902857,0.3112872205649757,44,0.0,0.0,0.0,0.842,0.5817511220432304,1.3116806658908322,0.638,0.578011440130789,0.6979332273028428
-0.031,-0.12126395961311331,0.1285257001443405,0.231,0.2054423726308591,0.2506688876396817,45,0.0,0.0,0.0,0.403,0.30208973887068347,0.5133232849418627,0.498,0.45518876476999026,0.5370030504647396
0.165,0.1004117809899796,0.2104614986047446,0.22,0.19527756700925572,0.24398134798185822,46,0.0,0.0,0.0,1.185,0.8153035137751801,1.6217325700988783,0.659,0.6103363845958928,0.7072950824779122
0.378,0.33360830607398384,0.4388870985169655,0.251,0.22968979300057965,0.2826161708779055,47,0.0,0.0,0.0,1.126,0.8178589739123199,1.4176312046564576,1.126,1.0801597357512638,1.2103245150296544
0.144,0.09689973503386051,0.20758702153724595,0.204,0.18325797956164447,0.22898354905218662,48,0.0,0.0,0.0,1.037,0.800798866812318,1.5349279719067763,0.613,0.5747866038521027,0.661116588629721
0.372,0.32417600028951377,0.4187993239494281,0.303,0.27583126851196366,0.32925931688428833,49,0.0,0.0,0.0,2.859,1.6934561588469774,4.065740366104435,0.644,0.5988922064782117,0.6938281966809924
