,index,v_level,gamma_level,s_level,tau_level,v_gen,v_gen_actual,gamma_gen,gamma_gen_actual,s_gen,s_gen_actual,tau_gen,tau_gen_actual,v_rec,v_rec_hpd_lower,v_rec_hpd_upper,gamma_rec,gamma_rec_hpd_lower,gamma_rec_hpd_upper,s_rec,s_rec_hpd_lower,s_rec_hpd_upper,tau_rec,tau_rec_hpd_lower,tau_rec_hpd_upper,converged
55,55,high,low,low,medium,0.00013700000000000002,0.00013753724240214168,-0.7,-0.6867961685179272,0.0067,0.0066336152729888275,0.675,0.6907767453594691,0.00014663574782094468,0.00013985258076222506,0.00015338457093481536,-0.6174087313876926,-0.6743029772943032,-0.5583723175846256,0.00693691662309908,0.006412355661912821,0.007483115751855032,0.6777999852208405,0.5751759364061912,0.8012443709983215,True
56,56,high,low,low,high,0.00013700000000000002,0.00013828333616996952,-0.7,-0.7485533339138504,0.0067,0.006512286746547177,1.135,1.1690074498897185,0.0001527529138929196,0.00014287177152168376,0.00016139261731583327,-0.6709592948854762,-0.7286183434182512,-0.6193594138059275,0.0073916222627564265,0.006726508670004188,0.00816574267411765,1.0583976706751768,0.8897404256647932,1.245724495948113,True
57,57,high,low,medium,low,0.00013700000000000002,0.00013425981392176898,-0.7,-0.6505511902001463,0.0095,0.009746418006757195,0.215,0.22284797190298689,0.00014091205841744884,0.0001325353525192732,0.0001502422589503199,-0.7089809034116207,-0.8695516778908434,-0.5576074274241147,0.009908683595270949,0.009043432857631038,0.010847676315599634,0.25142340367025706,0.14048671890585576,0.3663840123697184,True
58,58,high,low,medium,medium,0.00013700000000000002,0.00013440538040928438,-0.7,-0.6250278027631807,0.0095,0.009409420027995438,0.675,0.6726359822643513,0.00014121019348326713,0.0001345528219540757,0.00014829779630240803,-0.5897788825196691,-0.6732448261186352,-0.5001888411427071,0.009776683562770037,0.009066099405842024,0.010467813107974271,0.6659717529293477,0.5492508885307581,0.7722605168949637,True
59,59,high,low,medium,high,0.00013700000000000002,0.0001329795669698228,-0.7,-0.683389913959714,0.0095,0.009585587290871628,1.135,1.1804132402113827,0.00014342010999924317,0.00013784715920565858,0.00014905084043627897,-0.6417967167019485,-0.6826158108074605,-0.6036815242197111,0.010448705355331244,0.00980207951339156,0.011148644906440087,1.2175868847016649,1.027609701507453,1.4291518665667615,True
60,60,high,low,high,low,0.00013700000000000002,0.00013700509281927488,-0.7,-0.7246826098867162,0.0123,0.012293522899687494,0.215,0.36292213477600976,0.00014511965249795327,0.00013739876192056942,0.00015211046121712645,-0.6599373030719373,-0.7852767603165559,-0.5432858234101907,0.012496254153042424,0.011818491462008932,0.013208101512739216,0.399251378695396,0.2863248921886424,0.5166660196089167,True
61,61,high,low,high,medium,0.00013700000000000002,0.00013668503893803666,-0.7,-0.731292609826711,0.0123,0.012059862132573164,0.675,0.6578916680226281,0.00014959636296043145,0.00014161088571293368,0.00015768405352224198,-0.630199475833919,-0.7334608644027725,-0.534098967406992,0.011863822622712869,0.011100869441834584,0.012642794980780254,0.7046511529168779,0.5664625181629632,0.8560028707519794,True
62,62,high,low,high,high,0.00013700000000000002,0.0001352612867017207,-0.7,-0.736292084546404,0.0123,0.012068996876477469,1.135,1.2021099326945093,0.00014383402476419728,0.00013816764511784228,0.0001500111790926636,-0.6573011641854206,-0.7105360005379477,-0.6029982948014538,0.012417020578659076,0.011874450619938906,0.012996674896676287,1.251592694685861,1.0408140283541565,1.4655586039466917,True
63,63,high,medium,low,low,0.00013700000000000002,0.00013577248908988967,0.0,0.07665493523535903,0.0067,0.0066297226015772535,0.215,0.1999659651265389,0.00014001210678603446,0.00013537319756268897,0.00014499517009153415,0.16060345914453825,0.028274516700683705,0.29884796016127524,0.0059605254268951646,0.005674984213799993,0.006264713778064194,0.15068071134096944,0.06700439899578099,0.2274485575838312,True
64,64,high,medium,low,medium,0.00013700000000000002,0.00013336862224375,0.0,0.03318242684154262,0.0067,0.006432075673317059,0.675,0.6462242492287135,0.00014110773823227166,0.00013476080838332072,0.00014825817450774467,0.03055595098208966,-0.05871505043940495,0.1071916423978312,0.005821620807290193,0.005457142412725301,0.0061978649296317,0.523795238358799,0.43390420713047584,0.6167143319671641,True
65,65,high,medium,low,high,0.00013700000000000002,0.0001350941672517706,0.0,-0.007512607697615914,0.0067,0.006534492158177174,1.135,1.0948790824216066,0.00013506836052441874,0.00012952190682877834,0.00014022785352789323,-0.006787657173216838,-0.08752363597450064,0.0658405739432304,0.006404009221504171,0.005818527238795037,0.007001278058331467,1.0960982236189736,0.9440359296507252,1.2566138857100326,True
66,66,high,medium,medium,low,0.00013700000000000002,0.00013956949843659354,0.0,0.013170709783735057,0.0095,0.009477438757444051,0.215,0.30269934576884705,0.0001392709214587941,0.0001327847554986937,0.00014593056729076615,0.009200097489019274,-0.20209781639350052,0.1881370718881428,0.009268802951105486,0.008816835679800116,0.009731846857190644,0.28690488593566466,0.13531672578720386,0.471203052274738,False
